notice,url,stack,company,information.Position,information.Employment Type,information.Experiences,information.Company Size,information.Principal Services,information.Period,information.Work Location,information.Salary
"[전문연구요원] 컴퓨터비전, 머신러닝, 딥러닝 (CNN)",https://programmers.co.kr/job_positions/7126,"['C++', 'Tensorflow', 'PyTorch', 'Python']",큐픽스,인공지능(AI),Full-time,1 ~ 10years,38,3d digital twin for construction,from 2021-09-07 10:37 to 2021-10-31 23:59,"경기 성남시 분당구 대왕판교로 670, (삼평동) B동 605호",
[전문연구요원/프론트엔드] Angular/3D/WebGL/Computer Graphics,https://programmers.co.kr/job_positions/7128,"['TypeScript', 'JavaScript', 'AngularJS']",큐픽스,"프론트엔드, 웹 풀스택, 응용 프로그램",Full-time,1 ~ 10years,38,3d digital twin for construction,from 2021-09-07 10:50 to 2021-10-31 23:59,"경기 성남시 분당구 대왕판교로 670, (삼평동) B동 605호",
[전문연구요원/백엔드(인프라)] AWS/Ruby/Elastic Stack,https://programmers.co.kr/job_positions/7127,"['Elasticsearch', 'Terraform', 'Node.js', 'Python', 'Ruby on Rails']",큐픽스,"서버/백엔드, 게임 서버, 시스템 소프트웨어",Full-time,1 ~ 10years,38,3d digital twin for construction,from 2021-09-07 10:43 to 2021-10-31 23:59,"경기 성남시 분당구 대왕판교로 670, (삼평동) B동 605호",
[전문연구요원] iOS 개발 (AR/VR/네트워크),https://programmers.co.kr/job_positions/7129,['Swift'],큐픽스,"아이폰 앱, 사물인터넷(IoT)",Full-time,1 ~ 10years,38,3d digital twin for construction,from 2021-09-07 10:54 to 2021-10-31 23:59,"경기 성남시 분당구 대왕판교로 670, (삼평동) B동 605호",
프로덕트 엔지니어 (Ruby on Rails 개발자),https://programmers.co.kr/job_positions/6337,"['Nginx', 'Tailwind CSS', 'Sidekiq', 'JavaScript', 'MySQL', 'AWS RDS', 'AWS EC2', 'Ruby on Rails', 'Ruby']",레디앤스타트,"서버/백엔드, 프론트엔드, 웹 풀스택",Full-time,3 ~ 10years,10,"잇다는 업계 현직자가 참여하는 온/오프라인 클래스, 현실적인 조언, 전문성이 담긴 콘텐츠를 바탕으로 가장 높은 수준의 성인 교육 서비스를 만들어갑니다.",Without deadline,"서울 종로구 종로1길 50, B동 3층",4000 ~ 10000 만원
[다이어트 맞춤 챗봇 ‘밸런스 프렌즈’] 서버 개발자,https://programmers.co.kr/job_positions/7776,"['Kotlin', 'Spring Boot']",열정팩토리,서버/백엔드,Full-time,1 ~ 7years,14,밸런스 프렌즈,Without deadline,"서울 강남구 강남대로 570, (논현동)",4500 ~ 10000 만원
콘텐츠 Android Developer,https://programmers.co.kr/job_positions/4283,[],버킷플레이스(오늘의집),안드로이드 앱,Full-time,3 ~ 10years,319,오늘의집,Without deadline,"서울 서초구 서초대로74길 4, 삼성생명서초타워 27층",
Vue.js 프론트엔드 개발자,https://programmers.co.kr/job_positions/7775,['Vue.js'],렛유인,프론트엔드,Full-time,1 ~ 5years,29,"취업준비생, 기업 대상 교육 서비스",from 2021-10-18 10:00 to 2021-10-25 23:59,"서울 강남구 역삼로3길 11, (역삼동) 광성빌딩 본관 9층",3000 ~ 6000 만원
PHP 웹 개발자,https://programmers.co.kr/job_positions/7774,['PHP'],렛유인,"서버/백엔드, 웹 풀스택",Full-time,2 ~ 5years,29,"취업준비생, 기업 대상 교육 서비스",from 2021-10-18 10:00 to 2021-10-25 23:59,"서울 강남구 역삼로3길 11, (역삼동) 광성빌딩 본관 9층",3000 ~ 6000 만원
Node.js 백엔드 개발자,https://programmers.co.kr/job_positions/7773,['Node.js'],렛유인,서버/백엔드,Full-time,1 ~ 5years,29,"취업준비생, 기업 대상 교육 서비스",from 2021-10-18 10:00 to 2021-10-25 23:59,"서울 강남구 역삼로3길 11, (역삼동) 광성빌딩 본관 9층",3000 ~ 6000 만원
